#T		A			¦Å		I		¦Ø		¦¸		M		R		D			O		Reflectivity

#Mercury
87.97	0.387100	0.206	7.0		76.8	47.0	252.3	2439	58.6462		0.01	0.11

#Venus
224.70	0.723336	0.007	3.4		131.0	76.3	182.0	6052	243.0185	177.36	0.65

#Earth
365.26	1.000000	0.017	0.0		102.3	0.0		100.4	6378	0.9973		23.45	0.37

#Mars
686.98	1.523713	0.093	1.8		335.3	49.2	355.5	3398	1.0260		25.19	0.15

#Jupiter
4332.71	5.202867	0.048	1.3		13.7	100.0	34.4	71398	0.4135		3.13	0.52

#Saturn
10759.5	9.536468	0.056	2.5		92.3	113.3	50.0	60330	0.4440		26.73	0.47

#Uranus
30685.0	19.188839	0.046	0.8		170.0	73.8	313.2	25400	0.7183		97.77	0.51

#Neptune
60190.0	30.069966	0.008	1.8		44.3	131.3	304.9	24600	0.6712		28.32	0.41

#Moon
27.32	0.024285	0.055	5.1		0.0		0.0		0.0		1737	27.32		0.0		0.5

#Encke
1204.5	2.21		0.847	11.8	0.0		0.0		0.0		1000	0.100		0.0		1.0

#Radius	Brightness
696000	2.0
